original_text,target,label,text,num_chars
"It's truly unfortunate that we don't have the Japanese tradition of
Hari-Kari for public officials to salvage some tatters of honor after
they commit offenses against humanity like were perpetrated in Waco,
Texas today.
-- 
Dave Feustel N9MYI <feustel@netcom.com>",2,talk.politics.guns,"it's truly unfortunate that we don't have the japanese tradition of hari-kari for public officials to salvage some tatters of honor after they commit offenses against humanity like were perpetrated in waco , texas today . -- dave feustel n9myi <feustel@netcom .com>",265
"
Funny, the medical examiner today stated that there was no
evidence ONE WAY or ANOTHER that there were bullet wounds --
not a single autopsy has been performed, so all reports are
deemed speculative.  INCLUDING reports that there were NO
bullet wounds.


Before long, I think all the kneejerk conspiracy theorists
are going to start getting pretty pissed off at how easily
they mislead themselves.  Also, pretty disappointed at
being ignored by the coutnry.
",2,talk.politics.guns,"funny , the medical examiner today stated that there was no evidence one way or another that there were bullet wounds -- not a single autopsy has been performed , so all reports are deemed speculative . including reports that there were no bullet wounds . before long , i think all the kneejerk conspiracy theorists are going to start getting pretty pissed off at how easily they mislead themselves . also , pretty disappointed at being ignored by the coutnry .",461
"
I watched it live, and have re-watched it several times, and from the press  
vantage point, there was only one starting point visible, where the tank  
punched in on the windward side, and the winds whipped that fire across the  
whole, dry, wooden, structure in minutes.  Faned by the 30 mph gusts, and the  
Hueys.   If there were other fires started, they were not visible, nor were  
they needed to cause the flame progression I observed.
All witnesses get thier paychecks from the FBI.

Yep.  They media has endorsed the FBI version without question.  Sad.

Jim
--
jmd@handheld.com",2,talk.politics.guns,"i watched it live , and have re-watched it several times , and from the press vantage point , there was only one starting point visible , where the tank punched in on the windward side , and the winds whipped that fire across the whole , dry , wooden , structure in minutes . faned by the 30 mph gusts , and the hueys . if there were other fires started , they were not visible , nor were they needed to cause the flame progression i observed . all witnesses get thier paychecks from the fbi . yep . they media has endorsed the fbi version without question . sad . jim -- jmd@handheld .com",589
" 



Mr. Hernandez Ñ-
  
   I apologize for the misunderstanding.  I explained that I know that it
is essential for some fans to get scores here, for they cannot get them
elsewhere.  I have no problem with what you do, posting scores AFTER the
games have been completed.  However, like I said earlier, I don't think it
is a necessity to post scores during the middle of games, like some others
have come to practice.",0,rec.sport.baseball,"mr . hernandez ñ- i apologize for the misunderstanding . i explained that i know that it is essential for some fans to get scores here , for they cannot get them elsewhere . i have no problem with what you do , posting scores after the games have been completed . however , like i said earlier , i don't think it is a necessity to post scores during the middle of games , like some others have come to practice .",412
"                                                            ^^^^^^^^^^^^^^^
  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^


I dont think you're correct here. There have been no reports of the Bosnians
Muslims supporting the Nazis in their genocide against the Serbians. The fact is
that the Croat govt. using their secret police (called the Ustache, I think)
were the prime agents of the Nazis in Yugoslavia against the Serbs.
 


",3,talk.politics.mideast,"^^^^^^^^^^^^^^^ ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ i dont think you're correct here . there have been no reports of the bosnians muslims supporting the nazis in their genocide against the serbians . the fact is that the croat govt . using their secret police (called the ustache , i think) were the prime agents of the nazis in yugoslavia against the serbs .",394
"There was an article on Jewish major leaguers in a recent issue of ""Elysian 
Fields"", what used to be the ""Minnesota Review of Baseball"".  As I recall, 
it had an amazing amount of research, with a long list of players and a 
large bibliography.",0,rec.sport.baseball,"there was an article on jewish major leaguers in a recent issue of ""elysian fields"" , what used to be the ""minnesota review of baseball"" . as i recall , it had an amazing amount of research , with a long list of players and a large bibliography .",246
"}Dillon has published a letter in the Blue Press telling people
}""How to Bankrupt HCI"" by requesting information from them.
}
}Last time this idea went around in rec.guns, a couple of people
}said that HCI counts all information requestors as ""members"".
}
}Can anyone confirm or deny this?
}
}If true, what's the impact of HCI getting a few thousand new
}members?

Last I heard, HCI had something like 250K members to the NRA's 3 million.
If true, and they want to play duelling mandates, well ...",2,talk.politics.guns,"}dillon has published a letter in the blue press telling people }""how to bankrupt hci"" by requesting information from them . } }last time this idea went around in rec .guns , a couple of people }said that hci counts all information requestors as ""members"" . } }can anyone confirm or deny this ? } }if true , what's the impact of hci getting a few thousand new }members ? last i heard , hci had something like 250k members to the nra's 3 million . if true , and they want to play duelling mandates , well . . .",509
"

Ugliest stance of all time has to go to Oscar Gamble. The man would
practically kneel in front of home plate in order to have a small strike
zone! (He's just lucky that strike zone size isn't determined by how big
your afro is:)",0,rec.sport.baseball,ugliest stance of all time has to go to oscar gamble . the man would practically kneel in front of home plate in order to have a small strike zone! (he's just lucky that strike zone size isn't determined by how big your afro is:),229
"
	Well Josh I agree with you to some respect...less your spelling
	errors.  The Gov'mnt always must win! even if they kill every
	man women and child....by GOD they must win at all costs......

	This happens over and over and over in this country.  Lets make
	excuses, get the worthless press to cover up everything, let the
	officials take the heat for top management stupidity etc...etc...

	> ",2,talk.politics.guns,"well josh i agree with you to some respect . . .less your spelling errors . the gov'mnt always must win! even if they kill every man women and child . . . .by god they must win at all costs . . . . . . this happens over and over and over in this country . lets make excuses , get the worthless press to cover up everything , let the officials take the heat for top management stupidity etc . . .etc . . . >",406
"Throughout the years of the Israel/Arab-Palestinian conflict, the internal
Palestinian popultation has found itself essentially relegated to the
lower tiers of the economy. Given the major kinds of positions required
by the Israeli and the ""Palestinian"" economy, there are essentially two
different ones existing side by side aren't holding down many of the ""
skilled"" positions. So, when Gaza has to operate on its own, there are 
few residents trained to fill the need for middle and upper management.",3,talk.politics.mideast,"throughout the years of the israel/arab-palestinian conflict , the internal palestinian popultation has found itself essentially relegated to the lower tiers of the economy . given the major kinds of positions required by the israeli and the ""palestinian"" economy , there are essentially two different ones existing side by side aren't holding down many of the "" skilled"" positions . so , when gaza has to operate on its own , there are few residents trained to fill the need for middle and upper management .",509
"
how so? i think you're making assumptions here that might not 
necessarily be true. -my- personal choice would be a semi-auto, but 
revolvers are just as effective, if not more so.


relevancy, please? you sound shocked, but that hardly proves anything.


wait, doesn't Chicago have -serious- gun control? if so, why do the
police need all that firepower in the first place? (sarcasm alert)

all the patrol cars i've seen around here have shotguns clamped to 
the dash board. IMHO, that's all the police need to outgun just about 
anything.

jason
",2,talk.politics.guns,"how so ? i think you're making assumptions here that might not necessarily be true . -my- personal choice would be a semi-auto , but revolvers are just as effective , if not more so . relevancy , please ? you sound shocked , but that hardly proves anything . wait , doesn't chicago have -serious- gun control ? if so , why do the police need all that firepower in the first place ? (sarcasm alert) all the patrol cars i've seen around here have shotguns clamped to the dash board . imho , that's all the police need to outgun just about anything . jason",553
"
	This list brings to mind possible the worst trade since Babe for
	NONO NANNETTE, i.e., Milt Pappas for Frank Robinson, I think in
	1965 ?. Robinson proceeded to win the triple crown in 1966 and
	may have beaten out Yaz in '67 but was injured on a slide into 
	second when he collided with the mighty Al Weis (Chisox). ",0,rec.sport.baseball,"this list brings to mind possible the worst trade since babe for nono nannette , i .e . , milt pappas for frank robinson , i think in 1965 ? . robinson proceeded to win the triple crown in 1966 and may have beaten out yaz in '67 but was injured on a slide into second when he collided with the mighty al weis (chisox) .",319
"Hi all,

Due to living in the Bay Area, I as unable to see Vancouver's victory over
the Jets last night.  I know the score, but that rarely describes the game.
Could someone please post a brief sonapsis (sp?) of waht happened.  How well
did each team play?  Were the cannucks deserving of the victory?

Also, could some kind soul please email me the end of season, individual
player stats?

Greg",1,rec.sport.hockey,"hi all , due to living in the bay area , i as unable to see vancouver's victory over the jets last night . i know the score , but that rarely describes the game . could someone please post a brief sonapsis (sp ?) of waht happened . how well did each team play ? were the cannucks deserving of the victory ? also , could some kind soul please email me the end of season , individual player stats ? greg",401
"
Depends on what you mean by ""for a living"".  1974 was the year he led the
league in pinch-hit at bats with 50, but he'd been getting a lot of PH ABs
earlier than that, and was never a full-time player.  20-35 PH ABs early in
his career, 15-20 a year just before going to the Dodgers, and 30-50 in the
peak years.

We're talking about a guy with a 20-year career as an outfielder, a .300+
career batting average, and 1130 or so career hits.  

",0,rec.sport.baseball,"depends on what you mean by ""for a living"" . 1974 was the year he led the league in pinch-hit at bats with 50 , but he'd been getting a lot of ph abs earlier than that , and was never a full-time player . 20-35 ph abs early in his career , 15-20 a year just before going to the dodgers , and 30-50 in the peak years . we're talking about a guy with a 20-year career as an outfielder , a .300+ career batting average , and 1130 or so career hits .",446
"Well now that the hawks have won the division the road is a little
easier for the playoffs. Let toronto and detroit beat the hell out of
each other while Chicago sweeps st.louis. That just makes it easier in
the second round with all the rest they will get and tor/det getting
none. For the conf. champ they will have a hard time versus the division
but that div. will be pretty battered also so the advantage goes to the
Hawks again. Then bring pitt. and sure the Hawks will probably lose but
its better to get that far and lose than to not go.",1,rec.sport.hockey,well now that the hawks have won the division the road is a little easier for the playoffs . let toronto and detroit beat the hell out of each other while chicago sweeps st .louis . that just makes it easier in the second round with all the rest they will get and tor/det getting none . for the conf . champ they will have a hard time versus the division but that div . will be pretty battered also so the advantage goes to the hawks again . then bring pitt . and sure the hawks will probably lose but its better to get that far and lose than to not go .,554
"
If ""ownership"" were rightly based on ""worthiness"" there wouldn't be any owners.
What is your point?

As I understand it, Israel's ""claim"" on Jerusalem is based on 1) possession,
and 2) the absolutely CENTRAL (not second, not third) role it plays in jewish 
identity. 

",3,talk.politics.mideast,"if ""ownership"" were rightly based on ""worthiness"" there wouldn't be any owners . what is your point ? as i understand it , israel's ""claim"" on jerusalem is based on 1) possession , and 2) the absolutely central (not second , not third) role it plays in jewish identity .",270
"
Mel is alive and well and playing in Japan. (The Yanks let him go because
he was asking for too much money, and because they thought that they were
going to get Barry Bonds, making Hall obsolete. Oopsie! Well, at least
they got O'Neill to replace the Mel-man).


--I'm outta here like Vladimir!
-Alan",0,rec.sport.baseball,"mel is alive and well and playing in japan . (the yanks let him go because he was asking for too much money , and because they thought that they were going to get barry bonds , making hall obsolete . oopsie! well , at least they got o'neill to replace the mel-man) . --i'm outta here like vladimir! -alan",304
"
W --> 
W --> SEE! The Providence Bruins lost the first two games at home and came back to
W -->      tie the series on the road, there may be hope for the Bruins yet!

Toast. They're toast. (And I know how much you want me to eat these 
words, but it ain't gonna happen.) Are the golf courses in the Boston 
area in playable condition yet?

- Jack

 * Acid consumes 47 times its weight in life!",1,rec.sport.hockey,"w --> w --> see! the providence bruins lost the first two games at home and came back to w --> tie the series on the road , there may be hope for the bruins yet! toast . they're toast . (and i know how much you want me to eat these words , but it ain't gonna happen .) are the golf courses in the boston area in playable condition yet ? - jack * acid consumes 47 times its weight in life!",388
"
As long as a player is under contract to an organization, he is obligated to
play only where that organization tells him to play or gives him permission
to play. The Rangers are certainly within their rights to force Zubov and
Andersson to report to Binghampton. 

It certainly does reflect a lack of class on the part of the Ranger 
organization, however. Is having Binghampton win the Calder Cup really more
important to them than keeping their players happy? ",1,rec.sport.hockey,"as long as a player is under contract to an organization , he is obligated to play only where that organization tells him to play or gives him permission to play . the rangers are certainly within their rights to force zubov and andersson to report to binghampton . it certainly does reflect a lack of class on the part of the ranger organization , however . is having binghampton win the calder cup really more important to them than keeping their players happy ?",464
"Well, I got the scores for Sat's games...

AHL PLAYOFF SCORES-- FIRST ROUND	(home team in CAPS)
================================
		
GAMES PLAYED ON SAT, 4/24
-------------------------
BALTIMORE 3	Binghamton 1
ROCHESTER 3	Utica 2
SPRINGFIELD 4	Providence 3
		
===================================================================
SERIES STATI (plural of status? :)
----------------------------------
Adirondack defeated CDI, 4-0
Springfield defeated Providence, 4-2
Binghamton tied w/Baltimore, 2-2
Rochester defeated Utica, 4-1
St John's leads Moncton, 3-1
Cape Breton defeated Fredericton, 4-1",1,rec.sport.hockey,"well , i got the scores for sat's games . . . ahl playoff scores-- first round (home team in caps) ================================ games played on sat , 4/24 ------------------------- baltimore 3 binghamton 1 rochester 3 utica 2 springfield 4 providence 3 =================================================================== series stati (plural of status ? :) ---------------------------------- adirondack defeated cdi , 4-0 springfield defeated providence , 4-2 binghamton tied w/baltimore , 2-2 rochester defeated utica , 4-1 st john's leads moncton , 3-1 cape breton defeated fredericton , 4-1",597
"
Let's see if I have this straight.  A law is created that says ""you can not
have a automatic weapon"" and therefore it's ok for the government to use
any level of force to enforce that law.  Doesn't matter if the entire 
population of the planet is destroyed as long as that law is obeyed.",2,talk.politics.guns,"let's see if i have this straight . a law is created that says ""you can not have a automatic weapon"" and therefore it's ok for the government to use any level of force to enforce that law . doesn't matter if the entire population of the planet is destroyed as long as that law is obeyed .",288
"
Here's one I remember: (sort of)
Yogi's asleep in a hotel room late at night and gets a call from someone.
After he answers the phone the person at the other end asks if he woke Yogi
up. Yogi answered, ""No, the phone did.""",0,rec.sport.baseball,"here's one i remember: (sort of) yogi's asleep in a hotel room late at night and gets a call from someone . after he answers the phone the person at the other end asks if he woke yogi up . yogi answered , ""no , the phone did .""",227
"

If you _know_ that the number is ""so high"", would you care to provide it?  
To tell you the truth, Hamid, most of those killed by the Israeli Army were
agressors who were invading or attacking Israel with the intention of murdering
Jews and destroying the Jewish State.  Thus, I have no sympathy for them and
I really don't give a damn about how many were killed.
",3,talk.politics.mideast,"if you _know_ that the number is ""so high"" , would you care to provide it ? to tell you the truth , hamid , most of those killed by the israeli army were agressors who were invading or attacking israel with the intention of murdering jews and destroying the jewish state . thus , i have no sympathy for them and i really don't give a damn about how many were killed .",367
"Has anyone noticed or commented on the fact that so many of those who
were willing, nay demanding, that we wait forever for Mr Hussein and
Iraq, that we use tremendously costly ""sanctions"", to avoid a loss
of life, are now at the fore front of those clammoring that we should
have smashed those ""religious radicals"" and we were wasting money allowing
this stand off to go on  ?  How the worm turns when the sect changes.
",2,talk.politics.guns,"has anyone noticed or commented on the fact that so many of those who were willing , nay demanding , that we wait forever for mr hussein and iraq , that we use tremendously costly ""sanctions"" , to avoid a loss of life , are now at the fore front of those clammoring that we should have smashed those ""religious radicals"" and we were wasting money allowing this stand off to go on ? how the worm turns when the sect changes .",424
"Today the Texas ME found two people, a man and a woman shot in the head
inside the burned compound. But these were not the people that the FBI
described a few days before. The FBI said that the person found in front of
the compound had been shot and several children were also. The two people
found today were on top of the main inside concrete bunker that provided
the most protection during the fire. So the comment that children were
shot is still not proved.
",2,talk.politics.guns,"today the texas me found two people , a man and a woman shot in the head inside the burned compound . but these were not the people that the fbi described a few days before . the fbi said that the person found in front of the compound had been shot and several children were also . the two people found today were on top of the main inside concrete bunker that provided the most protection during the fire . so the comment that children were shot is still not proved .",468
"
Such as?  Drunk drivers get back on the road in no time, to kill again.  Seems  
the driver's license process does not work for this.


Because you wanted one while you were underage.


Only on public roads.


Only if it is to be driven on public roads, other than between segments of my  
property.


Only on public roads.


Perhaps, if it gave them permission to shoot in public roads and parks. :-)


Jim

--
jmd@handheld.com",2,talk.politics.guns,"such as ? drunk drivers get back on the road in no time , to kill again . seems the driver's license process does not work for this . because you wanted one while you were underage . only on public roads . only if it is to be driven on public roads , other than between segments of my property . only on public roads . perhaps , if it gave them permission to shoot in public roads and parks . :-) jim -- jmd@handheld .com",421
"Does anyone know where Billy Taylor is?  Richmond or Syracuse?  He was taken
by the Jays in the Rule V draft, but not kept on the roster.  Baseball Weekly
said that he was demoted to Syracuse, but a Toronto paper indicated that
the Braves took him back.  Is there an Atlanta fan, or anyone reading this,
who knows?   ",0,rec.sport.baseball,"does anyone know where billy taylor is ? richmond or syracuse ? he was taken by the jays in the rule v draft , but not kept on the roster . baseball weekly said that he was demoted to syracuse , but a toronto paper indicated that the braves took him back . is there an atlanta fan , or anyone reading this , who knows ?",319
"Team Canada defeated Russia 3-1 to finish the priliminary 
round unbeaten at 5-0. Scoring for the Canadians were Kevin Dineen of 
the Flyers, Eric Lindros also of the Flyers and Paul Cariya of the 
Maine Black Bears. Cariya has put on quite a show at the Worlds. He is 
sure to be drafted in the top 3 this summer at the NHL entry draft.

	Canada defeated Italy 11-2 and Austria 11-0 before meeting the 
Russians on Sunday. The Canadians now face Finland in the Quarter -
finals on Tuesday.
",1,rec.sport.hockey,"team canada defeated russia 3-1 to finish the priliminary round unbeaten at 5-0 . scoring for the canadians were kevin dineen of the flyers , eric lindros also of the flyers and paul cariya of the maine black bears . cariya has put on quite a show at the worlds . he is sure to be drafted in the top 3 this summer at the nhl entry draft . canada defeated italy 11-2 and austria 11-0 before meeting the russians on sunday . the canadians now face finland in the quarter - finals on tuesday .",490
"I should have guessed. It's time for the annual Pittsburgh Penguins
whine-a-thon. Bowman was complaning about cheap shots by the Devils in
Game 1. I'm sorry, Mr. Bowman, you're a great coach, but those ""cheap
shots"" were nothing compared to what's going to come. Also, I guess you
were only able to notice the cheap shots made by the guys not in white.
It's amazing what those black and gold colored glasses will do. 

PS - Nice dive on that high stick Mario. Everyone knew it was a high
stick, you could have stayed on your feet and saved your diving talent
for later.",1,rec.sport.hockey,"i should have guessed . it's time for the annual pittsburgh penguins whine-a-thon . bowman was complaning about cheap shots by the devils in game 1 . i'm sorry , mr . bowman , you're a great coach , but those ""cheap shots"" were nothing compared to what's going to come . also , i guess you were only able to notice the cheap shots made by the guys not in white . it's amazing what those black and gold colored glasses will do . ps - nice dive on that high stick mario . everyone knew it was a high stick , you could have stayed on your feet and saved your diving talent for later .",581
"

Not sure.  But the number of Israelis killed defending Israel is a little more
than 17,000 in the last 45 years and 61,000 injured.

You must try to make a mockery out of everything, don't you?  Pathetic.",3,talk.politics.mideast,"not sure . but the number of israelis killed defending israel is a little more than 17 ,000 in the last 45 years and 61 ,000 injured . you must try to make a mockery out of everything , don't you ? pathetic .",208
"Congratulations also are due to the Hamas activists who blew up the 
World Trade Center, no?  After all, with every American that they put

in the grave they are underlining the USA's bankrupt imperialist
policies.  Go HAmas!

Blah blah blah blah blah

Brad, you are only asking that that violence that you love so much
come back to haunt you...............",3,talk.politics.mideast,"congratulations also are due to the hamas activists who blew up the world trade center , no ? after all , with every american that they put in the grave they are underlining the usa's bankrupt imperialist policies . go hamas! blah blah blah blah blah brad , you are only asking that that violence that you love so much come back to haunt you . . . . . . . . . . . . . . .",371
"I found this press release from Trial Lawyers for Public Justice on
another system, and thought it would be of interest on campuses 
where the administration or the athletics department wants to 
eliminate the women's ice hockey team.

 Women Athletes, TLP Win Sex Discrimination Ruling: Brown University
Ordered to Restore Two Women's Varsity Teams
To: National Desk, Sports Writer
 Contact: Lynette Labinger, 401-421-9794, home 401-274-7507, or
          Ray Marcaccio, 401-831-8900, both of Trial Lawyers For
          Public Justice",1,rec.sport.hockey,"i found this press release from trial lawyers for public justice on another system , and thought it would be of interest on campuses where the administration or the athletics department wants to eliminate the women's ice hockey team . women athletes , tlp win sex discrimination ruling: brown university ordered to restore two women's varsity teams to: national desk , sports writer contact: lynette labinger , 401-421-9794 , home 401-274-7507 , or ray marcaccio , 401-831-8900 , both of trial lawyers for public justice",520
"Also sprach slegge@kean.ucs.mun.ca ...


Two things:

1. Didn't the trade deadline pass two weeks ago?

2. The FLYERS would never ever EVER give up Lindros, simple as that.

Go Flyers, Cup in '94...

Mike",1,rec.sport.hockey,"also sprach slegge@kean .ucs .mun .ca . . . two things: 1 . didn't the trade deadline pass two weeks ago ? 2 . the flyers would never ever ever give up lindros , simple as that . go flyers , cup in '94 . . . mike",212
"If I were Pat Burns I'd throw in the towel. The wings dominated every
aspect of the game.  Trying to mix up the lines is a dead end.  Murray
has too many combinations to counter with. My prediction is wings in 5.",1,rec.sport.hockey,if i were pat burns i'd throw in the towel . the wings dominated every aspect of the game . trying to mix up the lines is a dead end . murray has too many combinations to counter with . my prediction is wings in 5 .,215
"
much crap deleted


DEAD WRONG!  Last time I checked, Jim Fregosi was still managing the
Phillies, and doing quite a fine job thank you...best record in
baseball at 8-1

MY PREDICTION FOR 1993:
Jim Fregosi will win manager of the year in the NL",0,rec.sport.baseball,"much crap deleted dead wrong! last time i checked , jim fregosi was still managing the phillies , and doing quite a fine job thank you . . .best record in baseball at 8-1 my prediction for 1993: jim fregosi will win manager of the year in the nl",245
"(Please note followup)
In <1993Apr27.012045.8543@Virginia.EDU> ab4z@Virginia.EDU (""Andi


Comparing Israel to Nazi Germany is name-calling of the lowest kind.
Please don't be disingenuous.


Do civil libertarians make no distinction between the Nazis and
Israel?  Would you say that the Iraqis are like the Nazis?

If you do not make such distinctions, then all injustices are
equally evil, and the world is a completely evil place.  In that
case, we may as well give up right now.
",3,talk.politics.mideast,"(please note followup) in <1993apr27 .012045 .8543@virginia .edu> ab4z@virginia .edu (""andi comparing israel to nazi germany is name-calling of the lowest kind . please don't be disingenuous . do civil libertarians make no distinction between the nazis and israel ? would you say that the iraqis are like the nazis ? if you do not make such distinctions , then all injustices are equally evil , and the world is a completely evil place . in that case , we may as well give up right now .",487
"
	Close Roger, but no banana, er avocado or is it artichoke ?!?

	Geracie in the Murky News said Kingston will be the new 49ers
	quarterback.  I'm still trying to determine if he is kidding
	or not :).  If I happen to pound down enuff pints sometime 
	this week I'll go back and check what stooper idiot Purdy
	said in his column.  That ought to be worth a few Leafs, I
	mean Laughs.   If I'm really depressed I'll read the SF Comicle.

	mark

 just say",1,rec.sport.hockey,"close roger , but no banana , er avocado or is it artichoke ?! ? geracie in the murky news said kingston will be the new 49ers quarterback . i'm still trying to determine if he is kidding or not :) . if i happen to pound down enuff pints sometime this week i'll go back and check what stooper idiot purdy said in his column . that ought to be worth a few leafs , i mean laughs . if i'm really depressed i'll read the sf comicle . mark just say",443
"
Huh?  Clemens pitched last on Saturday, giving him his usual four days
rest.  

-- 
------------------------------------------------------------------------------
Brian Curran                 Mead Data Central              brian@meaddata.com ",0,rec.sport.baseball,"huh ? clemens pitched last on saturday , giving him his usual four days rest . -- ------------------------------------------------------------------------------ brian curran mead data central brian@meaddata .com",211
"
My Native American Girlfriend asks: ""If the government really doesn't
'care a hill of beans' about our religion, how come they're still
busting us for it in Oregon, Washington, and a few other places?
You'd be a Christian, too, if the U.S. Army marched you into church
at gunpoint.""",2,talk.politics.guns,"my native american girlfriend asks: ""if the government really doesn't 'care a hill of beans' about our religion , how come they're still busting us for it in oregon , washington , and a few other places ? you'd be a christian , too , if the u .s . army marched you into church at gunpoint .""",291
